module,test,dtype,n_total,n_diff,max_ulp,tol,histogram,status
solve,solve batch[70] n=7,float64,7,7,26,atol=1e-14,3×1ULP 1×2ULP 1×7ULP 1×8ULP 1×26ULP,within atol=1e-14
solve,solve batch[71] n=5,float64,5,4,3,atol=1e-14,2×1ULP 1×2ULP 1×3ULP,within atol=1e-14
solve,solve batch[72] n=4,float64,4,2,2,atol=1e-14,1×1ULP 1×2ULP,within atol=1e-14
solve,solve batch[73] n=6,float64,6,6,12,atol=1e-14,2×1ULP 1×2ULP 1×4ULP 1×6ULP 1×12ULP,within atol=1e-14
solve,solve batch[74] n=6,float64,6,4,2,atol=1e-14,1×1ULP 3×2ULP,within atol=1e-14
solve,solve batch[75] n=4,float64,4,2,2,atol=1e-14,2×2ULP,within atol=1e-14
solve,solve batch[76] n=5,float64,5,3,112,atol=1e-14,1×1ULP 1×24ULP 1×112ULP,within atol=1e-14
solve,solve batch[77] n=4,float64,4,4,5,atol=1e-14,3×1ULP 1×5ULP,within atol=1e-14
solve,solve batch[78] n=7,float64,7,7,35,atol=1e-14,1×12ULP 1×19ULP 1×21ULP 1×23ULP 1×27ULP 1×30ULP 1×35ULP,within atol=1e-14
solve,solve batch[79] n=5,float64,5,5,11,atol=1e-14,1×2ULP 1×3ULP 1×4ULP 1×7ULP 1×11ULP,within atol=1e-14
solve,solve batch[80] n=8,float64,8,8,44,atol=1e-14,1×26ULP 1×27ULP 2×30ULP 1×32ULP 1×39ULP 1×43ULP 1×44ULP,within atol=1e-14
solve,solve batch[81] n=4,float64,4,2,10,atol=1e-14,1×1ULP 1×10ULP,within atol=1e-14
solve,solve batch[82] n=4,float64,4,4,3,atol=1e-14,1×1ULP 1×2ULP 2×3ULP,within atol=1e-14
solve,solve batch[83] n=5,float64,5,5,4,atol=1e-14,1×2ULP 1×3ULP 3×4ULP,within atol=1e-14
solve,solve batch[84] n=8,float64,8,6,14,atol=1e-14,1×2ULP 2×3ULP 1×4ULP 1×5ULP 1×14ULP,within atol=1e-14
solve,solve batch[85] n=4,float64,4,3,3,atol=1e-14,2×2ULP 1×3ULP,within atol=1e-14
solve,solve batch[86] n=8,float64,8,8,310,atol=1e-14,1×1ULP 2×2ULP 2×3ULP 1×4ULP 1×8ULP 1×310ULP,within atol=1e-14
solve,solve batch[87] n=7,float64,7,6,6,atol=1e-14,4×1ULP 1×3ULP 1×6ULP,within atol=1e-14
solve,solve batch[88] n=5,float64,5,0,0,atol=1e-14,—,bit-identical
solve,solve batch[89] n=5,float64,5,4,8,atol=1e-14,3×1ULP 1×8ULP,within atol=1e-14
solve,solve batch[90] n=8,float64,8,8,11,atol=1e-14,3×1ULP 1×2ULP 1×3ULP 1×8ULP 1×9ULP 1×11ULP,within atol=1e-14
solve,solve batch[91] n=8,float64,8,6,4,atol=1e-14,2×1ULP 2×2ULP 1×3ULP 1×4ULP,within atol=1e-14
solve,solve batch[92] n=6,float64,6,5,8,atol=1e-14,1×1ULP 1×2ULP 1×4ULP 1×5ULP 1×8ULP,within atol=1e-14
solve,solve batch[93] n=6,float64,6,4,3,atol=1e-14,1×1ULP 2×2ULP 1×3ULP,within atol=1e-14
solve,solve batch[94] n=6,float64,6,6,3,atol=1e-14,2×1ULP 3×2ULP 1×3ULP,within atol=1e-14
solve,solve batch[95] n=5,float64,5,5,3,atol=1e-14,2×1ULP 2×2ULP 1×3ULP,within atol=1e-14
solve,solve batch[96] n=6,float64,6,6,129,atol=1e-14,1×66ULP 1×73ULP 1×78ULP 1×114ULP 1×116ULP 1×129ULP,within atol=1e-14
solve,solve batch[97] n=4,float64,4,4,8,atol=1e-14,1×3ULP 2×4ULP 1×8ULP,within atol=1e-14
solve,solve batch[98] n=6,float64,6,6,8,atol=1e-14,2×1ULP 2×3ULP 2×8ULP,within atol=1e-14
solve,solve batch[99] n=6,float64,6,6,82,atol=1e-14,1×54ULP 1×55ULP 2×57ULP 1×59ULP 1×82ULP,within atol=1e-14
